Week,Challenge
2021-week-01,https://preppindata.blogspot.com/2021/01/2021-week-1.html
2021-week-02,https://preppindata.blogspot.com/2021/01/2021-week-2.html
2021-week-03,https://preppindata.blogspot.com/2021/01/2021-week-3.html
2021-week-04,https://preppindata.blogspot.com/2021/01/2021-week-4.html
2021-week-05,https://preppindata.blogspot.com/2021/02/2021-week-5-dealing-with-duplication.html
2021-week-06,https://preppindata.blogspot.com/2021/02/2021-week-6-comparing-prize-money-for.html
2021-week-07,https://preppindata.blogspot.com/2021/02/2021-week-7-vegan-shopping-list.html
2021-week-08,https://preppindata.blogspot.com/2021/02/2021-week-8-karaoke-data.html
2021-week-09,https://preppindata.blogspot.com/2021/03/2021-week-9-working-with-strings.html
2021-week-10,https://preppindata.blogspot.com/2021/02/2021-week-10-pokemon-hierarchies.html
2021-week-11,https://preppindata.blogspot.com/2021/03/2021-week-11-cocktail-profit-margins.html
2021-week-12,https://preppindata.blogspot.com/2021/03/2021-week-12-maldives-tourism.html
2021-week-13,https://preppindata.blogspot.com/2021/03/2021-week-13.html
2021-week-14,https://preppindata.blogspot.com/2021/04/2021-week-14-prep-air-in-flight.html
2021-week-15,https://preppindata.blogspot.com/2021/04/2021-week-15-restaurant-menu-orders.html
2021-week-16,https://preppindata.blogspot.com/2021/04/2021-week-16-super-league.html
2021-week-17,https://preppindata.blogspot.com/2021/04/week-17-timesheet-checks.html
2021-week-18,https://preppindata.blogspot.com/2021/05/2021-week-18-prep-air-project-overruns.html
2021-week-19,https://preppindata.blogspot.com/2021/05/2021-week-19-prep-air-project-details.html
2021-week-20,https://preppindata.blogspot.com/2021/05/2021-week-20-controlling-complaints.html
2021-week-21,https://preppindata.blogspot.com/2021/05/2021-week-21-getting-trolleyed.html)
2021-week-22,https://preppindata.blogspot.com/2021/06/2021-week-22-answer-smash.html
2021-week-23,
2021-week-24,
2021-week-25,
2021-week-26,
2021-week-27,
2021-week-28,
2021-week-29,
2021-week-30,
2021-week-31,
2021-week-32,
2021-week-33,
2021-week-34,
2021-week-35,
2021-week-36,
2021-week-37,
2021-week-38,
2021-week-39,
2021-week-40,
2021-week-41,
2021-week-42,
2021-week-43,
2021-week-44,
2021-week-45,
2021-week-46,
2021-week-47,
2021-week-48,
2021-week-49,
2021-week-50,
2021-week-51,
2021-week-52,
